repo,user,week,commit_count,pr_created,pr_closed,pr_consumption_rate
.github,LitoMore,2025-01-06,0.0,1.0,0.0,0.0
.github,efriis,2024-02-12,0.0,1.0,1.0,1.0
.github,eyurtsev,2025-01-27,0.0,1.0,1.0,1.0
LangChain-Commercial-Marketplace-Meters-Accelerator,langchain-infra,2024-03-18,0.0,1.0,1.0,1.0
LangChain-Commercial-Marketplace-Meters-Accelerator,langchain-infra,2024-03-25,0.0,1.0,1.0,1.0
agent-evals,eyurtsev,2024-11-25,0.0,1.0,0.0,0.0
agent-evals,eyurtsev,2024-12-02,0.0,6.0,6.0,1.0
agent-evals,hwchase17,2024-11-25,0.0,1.0,1.0,1.0
agent-evals,isahers1,2024-11-25,0.0,1.0,1.0,1.0
agent-evals,vbarda,2024-12-02,0.0,4.0,4.0,1.0
agent-inbox,bracesproul,2024-11-18,0.0,5.0,5.0,1.0
agent-inbox,bracesproul,2024-12-02,0.0,3.0,3.0,1.0
agent-inbox,bracesproul,2024-12-09,0.0,3.0,3.0,1.0
agent-inbox,bracesproul,2024-12-16,0.0,2.0,2.0,1.0
agent-inbox,bracesproul,2024-12-30,0.0,4.0,3.0,0.75
agent-inbox,bracesproul,2025-01-06,0.0,1.0,1.0,1.0
agent-inbox,bracesproul,2025-01-13,0.0,6.0,6.0,1.0
agent-inbox,bracesproul,2025-01-20,0.0,3.0,3.0,1.0
agent-protocol,baristaze,2025-01-27,0.0,3.0,3.0,1.0
agent-protocol,beryder,2025-02-17,0.0,2.0,1.0,0.5
agent-protocol,ccurme,2024-11-18,0.0,1.0,1.0,1.0
agent-protocol,dqbd,2025-01-13,0.0,1.0,1.0,1.0
agent-protocol,dqbd,2025-01-20,0.0,1.0,1.0,1.0
agent-protocol,nfcampos,2025-01-20,0.0,1.0,1.0,1.0
agent-protocol,nfcampos,2025-01-27,0.0,1.0,0.0,0.0
agent-protocol,nfcampos,2025-02-03,0.0,4.0,4.0,1.0
auto-evaluator,LachlanLindsay,2024-01-01,0.0,1.0,0.0,0.0
auto-evaluator,avibanerjee,2023-04-17,0.0,1.0,1.0,1.0
auto-evaluator,benisgold,2023-04-10,0.0,2.0,2.0,1.0
auto-evaluator,benisgold,2023-04-24,0.0,9.0,9.0,1.0
auto-evaluator,benisgold,2023-05-01,0.0,3.0,3.0,1.0
auto-evaluator,dankolesnikov,2023-04-10,0.0,1.0,1.0,1.0
auto-evaluator,dankolesnikov,2023-04-17,0.0,6.0,6.0,1.0
auto-evaluator,dankolesnikov,2023-04-24,0.0,2.0,2.0,1.0
auto-evaluator,marcelom-ds,2023-07-17,0.0,1.0,1.0,1.0
auto-evaluator,mziru,2023-05-08,0.0,1.0,1.0,1.0
auto-evaluator,rlancemartin,2023-04-17,0.0,6.0,6.0,1.0
auto-evaluator,rlancemartin,2023-04-24,0.0,8.0,8.0,1.0
auto-evaluator,rlancemartin,2023-05-01,0.0,4.0,4.0,1.0
auto-evaluator,rlancemartin,2023-05-08,0.0,2.0,2.0,1.0
auto-evaluator,rlancemartin,2023-05-29,0.0,1.0,1.0,1.0
auto-evaluator,samuelpath,2023-11-13,0.0,1.0,1.0,1.0
auto-evaluator,vkehfdl1,2023-08-28,0.0,1.0,0.0,0.0
chat-langchain,BeatrixCohere,2024-02-05,0.0,1.0,1.0,1.0
chat-langchain,Dragonchu,2024-02-05,0.0,1.0,1.0,1.0
chat-langchain,JKilpatrick1,2024-02-05,0.0,1.0,1.0,1.0
chat-langchain,JoshOlam,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,Madrawn,2023-04-17,0.0,1.0,0.0,0.0
chat-langchain,Rainierraoul,2023-04-03,0.0,1.0,0.0,0.0
chat-langchain,Swastik-Swarup-Dash,2024-08-26,0.0,1.0,0.0,0.0
chat-langchain,TMRolle,2023-07-17,0.0,1.0,0.0,0.0
chat-langchain,TomDarmon,2023-03-06,0.0,1.0,1.0,1.0
chat-langchain,WindowGenerator,2023-08-07,0.0,1.0,1.0,1.0
chat-langchain,abhaymathur21,2024-04-22,0.0,1.0,0.0,0.0
chat-langchain,adarsh-jha-dev,2023-10-16,0.0,1.0,1.0,1.0
chat-langchain,agola11,2023-02-13,0.0,2.0,2.0,1.0
chat-langchain,agola11,2023-10-30,0.0,1.0,1.0,1.0
chat-langchain,akira,2024-12-30,0.0,2.0,2.0,1.0
chat-langchain,angus-langchain,2025-01-06,0.0,1.0,1.0,1.0
chat-langchain,angus-langchain,2025-01-20,0.0,4.0,4.0,1.0
chat-langchain,angus-langchain,2025-01-27,0.0,1.0,1.0,1.0
chat-langchain,baskaryan,2023-08-21,0.0,1.0,1.0,1.0
chat-langchain,baskaryan,2023-08-28,0.0,2.0,2.0,1.0
chat-langchain,baskaryan,2023-09-04,0.0,4.0,4.0,1.0
chat-langchain,baskaryan,2023-09-18,0.0,5.0,5.0,1.0
chat-langchain,baskaryan,2023-09-25,0.0,14.0,14.0,1.0
chat-langchain,baskaryan,2023-10-23,0.0,3.0,3.0,1.0
chat-langchain,baskaryan,2024-02-05,0.0,7.0,7.0,1.0
chat-langchain,baskaryan,2024-02-12,0.0,1.0,1.0,1.0
chat-langchain,baskaryan,2024-02-19,0.0,3.0,3.0,1.0
